Time;Periode;Comments
2020-04-13T17:02:45Z;September;Awal  kemiskinan sudah mulai  sampay kpn musibah ini y Allh
2020-04-13T17:01:03Z;September;Ngomong lancar karena gajih gede coba kalo jadi kuli mau ngomong apa
2020-04-13T16:27:44Z;September;pemimpin pusatnya gak becus dan mengaggap REMEH soal COVID19,
2020-04-13T16:12:50Z;September;Pak presiden kami ini manusia. Tolong jangan bunuh kami perlahan.. tolong lengkapi alat penunjang kehidupan spt ventilator di rumah sakit dan puskesmas seluruh indonesia...
2020-04-13T16:01:40Z;September;Di Jawa bnyk yg tidak dpat bntuan begitupun yg luar Jawa. .. utang 70 triliun cuma buat senang para koruptor sja
2020-04-13T14:53:09Z;September;Klw lockdwon utang negara semakin besar ... Sekarang saatnya Indonesia bersatu saling bantu ,saling membagi Rezki ...karna musibah ini TDK di terima hanya satu golongan tapi semua golongan merasakan.. termasuk pak presiden dan semua anggota nya ..karna untuk menekan hutang Indonesia TDK melakukan lockdwon
2020-04-13T12:10:19Z;September;LUCUNYA NEGRIKU.....ORANG CARI MAKAN BUAT HIDUP DG HALAL karena UU PSBB bisa di pidanakan.... NARAPIDANA yg cari uang untuk foya foya di bebaskan.....????????????
2020-04-13T12:01:09Z;September;Kalau dulu ada staement corona tidak masuk ke indonesua karena birokrasinya berbelit - belit<br><br>Kalau sekarang corona susah keluar dari indonesia karena birokrasinya berbelit - belit
2020-04-13T09:11:11Z;September;"BEBERAPA PERTANYAAN NANA.. SEMESTINYA ADA MOMENT ANIES BISA MENGABIL KESEMPATAN UNTUK &quot;MENYALAHKAN&quot; PUSAT TETAPI DIA TIDAK LAKUKAN ITU,"
2020-04-13T08:10:07Z;September;itu yang rapat virtual DPR ada suara bersin keras banget wkwkwk aku yakin bersinnya ngga ditutupin ????
2020-04-13T05:31:18Z;September;Percumah sekalipun di jorokin emang mentok tetep diam ga bisa apa apa. Ada yg punya ide di jegal.
2020-04-13T02:56:37Z;September;Luhut memang memang biang bikin kacau negeri ini... Sayangnya dia juragannya jokowi... Alias bohir pilpres jkw.... Jadi jokowi lalalolo tok ga iso mecat luhut...
2020-04-13T02:45:46Z;September;jokowi udah gila kali ya... si tikus rakus luhut harus dilempar ke penjara... ???
2020-04-13T02:29:41Z;September;Ya ini semua salah kita dulu .. milih pemimpin yang pelihara buzzer .. alhasil apa2 selalu dibela buzzer. Sudahlah .. si anu dam jajarannya lihat nyawa cm data statistik dan gak lihat nyawa sbg hal berharga.. kita sdh tau klo mrk2 itu gak becus urus virus .. Kita sbg rakyat tinggal pasrah tinggal tunggu mati aja .. mati krn virus atau mati krn perut lapar dlm situasi sulit akibat covid-19. Semoga kt semua selalu sehat dan selamat.
2020-04-13T02:24:35Z;September;Negara ini gak serius menangani covid19 atau tdk memiliki kemampuan. Semoga bapak jokowi bisa menjadi presiden seterusnya sampai 30 periode supaya negara ini bisa dijadikan tumbal.
2020-04-13T02:19:42Z;September;Pemerintah terlalu banyak menuntut terhadap rakyatnya (tuannya) ancam sana ancam sini, giliran rakyat yg menuntut perlindungan akan kebutuhan kehidupannya, pemerintah terlalu banyak ngeles...tolong pemerintah seimbangkan antara tuntutan terhadap rakyat dan kewajiban pemerintah terhadap rakyatnya. Klo ga bisa, ini bisa jd potensi rusuh...
2020-04-12T23:22:20Z;September;President Jokowi tidak bertanggung Jawan dengan wabah covid 19 .DIA Sama opung tidak Mau melingdunggi rakyatnya.<br>Seorang gubernur kerja keras.Tatut DIA Sama Anis.Masya Allah Cara DIA bicara SAMPAI boss says acunkan jempol untuk Anis we can see who is the leader??????? The way he explain very smart n very interesting words
2020-04-12T23:03:21Z;September;Maaf ye saudaraku dì Indonesia.Stay Safe ye.Kami warga Malaysia mendoakan warga Indonesia sama2 bersatu melawan Covid ini????????????
2020-04-12T22:56:11Z;September;Setuju sama anis kali ini, data yang ditunjukkan memang real, tapi kalo yang sebenarnya ya nggk mungkin segitu karna kapasitas kita kemungkinan belum memadai, jadi bagi yang ngomong data gk bener ya bukan salah tapi bukan bener juga, apalagi yang bikin data perkiraan, semua juga bisa klo cuma gitu doang.
